ref;pauta;custo;qtd_prd;qtd_fat;prc_giro;tot_fat;grupo;produto
12091015;49.9;17.37;32;22;0.6875;1042.58;MODINHA PARTE DE CIMA;BLUSA
12601015;49.9;18.07;368;361;0.980978261;17856.56;MODINHA PARTE DE CIMA;BODY
12602015;89.9;28.48;139;133;0.956834532;11873.18;MODINHA PARTE DE CIMA;BLUSA
12603009;159;53.68;372;334;0.897849462;51734.3;COMPRIDO JEANS;FLARE
12605015;169;58.07;323;77;0.238390093;11940.25;MODINHA PARTE DE CIMA;JAQUETA
12606009;119;38.82;393;340;0.865139949;39764.75;COMPRIDO JEANS;SKINNY
12607009;159;53.22;785;763;0.971974522;118696.4;COMPRIDO JEANS;FLARE
12609009;129;43.95;440;413;0.938636364;52652.4;COMPRIDO JEANS;SKINNY
12611009;179.9;60.92;453;437;0.964679912;77727.84;COMPRIDO JEANS;FLARE
12612009;137;44.69;1116;979;0.877240143;132714.72;COMPRIDO JEANS;SKINNY
12613009;129;43.63;341;334;0.979472141;42511.07;COMPRIDO JEANS;SKINNY
12614009;119;40.22;295;279;0.945762712;33050.38;INDIVIDUAL  JEANS;VESTIDO
12615009;98;32.9;246;203;0.825203252;17814.3;JEANS PARTE DE CIMA ;BLUSA
12616015;39.9;11.86;334;334;1;12922.41;MODINHA PARTE DE CIMA;REGATA
12616345;39.9;11.86;72;70;0.972222222;2745.54;MODINHA PARTE DE CIMA;REGATA
12617468;79.9;24.39;200;195;0.975;15539.09;MODINHA PARTE DE CIMA;BLUSA
12618009;119;41.98;356;319;0.896067416;37459.77;JEANS PARTE DE CIMA ;BLUSA
12620052;176;57.66;375;260;0.693333333;44732.38;COMPRIDO JEANS;FLARE
12621009;139;46.35;452;419;0.92699115;57219.68;COMPRIDO JEANS;SKINNY
12623009;139;46.96;490;471;0.96122449;64714.02;COMPRIDO JEANS;SKINNY
12625009;149;50.02;307;156;0.508143322;21286.41;SOBREPOSTO JEANS;JAQUETA
12626015;49.9;16.91;196;196;1;9643.29;MODINHA PARTE DE CIMA;BLUSA
12627048;69.9;21.64;191;155;0.811518325;10763.24;MODINHA PARTE DE CIMA;BLUSA
12628015;79.9;24.68;203;186;0.916256158;14683.33;MODINHA PARTE DE CIMA;BLUSA
12629015;49.9;16.18;202;190;0.940594059;9299.32;MODINHA PARTE DE CIMA;BLUSA
12630009;205;69.06;270;173;0.640740741;35237.93;INDIVIDUAL  JEANS;MACACAO
12631009;139;45.04;439;430;0.979498861;58860.79;COMPRIDO JEANS;SKINNY
12632009;154;51.84;428;416;0.971962617;62848.22;COMPRIDO JEANS;FLARE
12633009;129;43.55;443;312;0.704288939;39928.9;COMPRIDO JEANS;SKINNY
12634009;139;44.28;430;408;0.948837209;55315.86;COMPRIDO JEANS;SKINNY
12636009;129;43.55;384;370;0.963541667;46198.35;COMPRIDO JEANS;SKINNY
12637009;129.9;40.63;443;430;0.970654628;55375.87;COMPRIDO JEANS;SKINNY
12638009;149;51.19;399;323;0.80952381;47640.34;COMPRIDO JEANS;SKINNY
